CardId #key,DisplayName,Clan,Type,Rarity,Cost,Attack,Health,IsSnack,Keywords,ChooseTarget,Hello,Goodbye,OnAttack,TurnStart,TurnEnd,RankTrack,Collectible,InStarterCollection,ArtEmoji,RulesText,Flavor
EmberKit,Ember Kit,Kitsune,Critter,Common,1,10,5,,Zoomies,,,,,,,CritterDefault,true,true,🦊,Zoomies.,"First out of the den, first into trouble."
Foxfire,Foxfire,Kitsune,Trick,Common,2,,,,,AnyTarget,DamageChosen3,,,,,TrickAmount5,true,true,🔥,Deal 15 damage to a critter or a Den.,It's not arson if it's beautiful.
FlameDancer,Flame Dancer,Kitsune,Critter,Common,3,10,15,,,,,,BurnDen1,,,Body10x15,true,true,💃,"After this critter attacks, deal 5 damage to the enemy Den.",Every step scorches the floorboards.
SizzleWhisker,Sizzle Whisker,Kitsune,Critter,Rare,3,15,10,,Zoomies,,,BurnDen1,,,,Body15x10,true,true,✨,Zoomies. Goodbye: deal 5 damage to the enemy Den.,Goes out with a bang. Always with a bang.
CinderStorm,Cinder Storm,Kitsune,Trick,Rare,3,,,,,,SweepEnemies1,,,,,None,true,true,🌋,Deal 5 damage to every enemy critter.,The forecast said light drizzle. Of embers.
NineTailMatriarch,Nine-Tail Matriarch,Kitsune,Critter,Epic,6,25,20,,,,DenPerKitsune,,,,,Body25x20,true,true,🦊,Hello: deal 5 damage to the enemy Den for each other Kitsune card you have played this match.,Every tail remembers a fire you started.
PebbleCollector,Pebble Collector,Tidepool,Critter,Common,2,10,10,,,,PeekTop3Keep1,,,,,Body10x10,true,true,🦦,"Hello: look at the top 3 cards of your deck, put 1 in your hand and the rest on the bottom.",Every pebble is his favorite pebble.
TideScholar,Tide Scholar,Tidepool,Critter,Common,3,10,15,,,,DrawOne,,,,,Body10x15,true,true,🐧,Hello: draw a card.,Reads the currents. Files them alphabetically.
Slipstream,Slipstream,Tidepool,Trick,Common,1,,,,,,ManaBurst2,,,,,None,true,true,🌀,Gain 2 mana this turn.,Faster wet than dry.
BubbleDrifter,Bubble Drifter,Tidepool,Critter,Common,3,15,10,,Bubble,,,,,,,Body15x10,true,true,🫧,Bubble.,Pop quiz: what floats and doesn't care?
Undertow,Undertow,Tidepool,Trick,Rare,4,,,,,AnyCritter,"BounceChosen, DrawOne",,,,,TrickCheaper3,true,true,🌊,"Return a critter to its owner's hand, then draw a card.",The sea returns everything eventually.
Riptide,Riptide,Tidepool,Trick,Epic,6,,,,,,BounceAll,,,,,None,true,true,🌊,Return every critter to its owner's hand.,Everyone out of the pool.
AcornHoard,Acorn Hoard,Mossback,Trick,Common,2,,,,,,RampOne,,,,,None,true,true,🌰,Gain 1 maximum mana permanently.,"Winter plans, spring dividends."
MossyYearling,Mossy Yearling,Mossback,Critter,Common,2,5,10,,,,,,,,GrowSelf1,Body5x10,true,true,🐻,"At the end of your turn, this critter gains +5/+5.",Come back next week. You'll see.
