Member,Value
DenStartingHp,125
DeckSize,25
MaxClansPerDeck,2
MaxBoardCritters,6
MaxHandSize,9
OpeningHandFirstPlayer,3
OpeningHandSecondPlayer,4
SecondPlayerBonusCard,TheAcorn
StartingMaxMana,0
ManaGainPerTurn,1
DrawsPerTurn,1
MulligansPerPlayer,1
TuckeredOutFirstDamage,5
TuckeredOutIncrement,5
RankMin,1
RankMax,5
InitialLockSlots,2
MinLockRank,2
StatQuantum,5
PowerScoreGapThreshold,15
NewcomerShieldMatches,2
InitialRating,1000
RatingKFactor,32
MatchesPerCardGift,3
CardGiftIncludesPractice,true
