StarterDeckId #key,DisplayName,Description,Cards[]
FireAndFoam,Fire & Foam,Burn the Den down while the otters keep the fire fed.,EmberKit
,,,Foxfire
,,,FlameDancer
,,,SizzleWhisker
,,,CinderStorm
,,,NineTailMatriarch
,,,PebbleCollector
,,,TideScholar
,,,Slipstream
,,,BubbleDrifter
,,,Undertow
,,,Riptide
,,,BerrySnack
,,,BusyBeaver
,,,FieldNotes
,,,GreyOwl
,,,HillPony
,,,MeadowMouse
,,,MooseWanderer
,,,OldBadger
,,,PondFrog
,,,PricklyHedgehog
,,,StrayGoat
,,,TrailRabbit
,,,WiseTortoise
SunlitThicket,Sunlit Thicket,"Ramp behind Guards, heal what gets through, win the long game.",AcornHoard
,,,MossyYearling
,,,HoneyFeast
,,,BoulderBoar
,,,AcornForager
,,,OldMossback
,,,SunbeamRetriever
,,,WarmBiscuit
,,,PackCheer
,,,BiscuitHound
,,,SheepdogShepherd
,,,DawnShepherd
,,,BerrySnack
,,,BusyBeaver
,,,FieldNotes
,,,GardenSnail
,,,MeadowMouse
,,,MooseWanderer
,,,OldBadger
,,,PondFrog
,,,PricklyHedgehog
,,,RiverDuck
,,,StrayGoat
,,,TrailRabbit
,,,WiseTortoise
AlleySparks,Alley Sparks,Sneak in and burn out: damage from two directions nobody can block.,MoonlitAlleycat
,,,SmokeBomb
,,,MoonlightSeance
,,,WhiskerThief
,,,DumpsterBandit
,,,RaccoonRingleader
,,,EmberKit
,,,Foxfire
,,,FlameDancer
,,,SizzleWhisker
,,,CinderStorm
,,,NineTailMatriarch
,,,BerrySnack
,,,FieldNotes
,,,GardenSnail
,,,GreyOwl
,,,HillPony
,,,MooseWanderer
,,,OldBadger
,,,PondFrog
,,,PricklyHedgehog
,,,RiverDuck
,,,StrayGoat
,,,TrailRabbit
,,,WiseTortoise
PorchlightPack,Porchlight Pack,"A wide, warm board, and something quietly going through the bins.",SunbeamRetriever
,,,WarmBiscuit
,,,PackCheer
,,,BiscuitHound
,,,SheepdogShepherd
,,,DawnShepherd
,,,MoonlitAlleycat
,,,SmokeBomb
,,,MoonlightSeance
,,,WhiskerThief
,,,DumpsterBandit
,,,RaccoonRingleader
,,,BerrySnack
,,,BusyBeaver
,,,FieldNotes
,,,GardenSnail
,,,GreyOwl
,,,HillPony
,,,OldBadger
,,,PondFrog
,,,PricklyHedgehog
,,,RiverDuck
,,,StrayGoat
,,,TrailRabbit
,,,WiseTortoise
RiverbankPatience,Riverbank Patience,"Draw, bounce, ramp — set the tempo, then out-size them.",PebbleCollector
,,,TideScholar
,,,Slipstream
,,,BubbleDrifter
,,,Undertow
,,,Riptide
,,,AcornHoard
,,,MossyYearling
,,,HoneyFeast
,,,BoulderBoar
,,,AcornForager
,,,OldMossback
,,,BerrySnack
,,,BusyBeaver
,,,FieldNotes
,,,GreyOwl
,,,HillPony
,,,MeadowMouse
,,,MooseWanderer
,,,PondFrog
,,,PricklyHedgehog
,,,RiverDuck
,,,StrayGoat
,,,TrailRabbit
,,,WiseTortoise
EmberAndOak,Ember & Oak,"Cheap fire early, an immovable bear late.",EmberKit
,,,Foxfire
,,,FlameDancer
,,,SizzleWhisker
,,,CinderStorm
,,,NineTailMatriarch
,,,AcornHoard
,,,MossyYearling
,,,HoneyFeast
,,,BoulderBoar
,,,AcornForager
,,,OldMossback
,,,BerrySnack
,,,BusyBeaver
,,,FieldNotes
,,,GardenSnail
,,,GreyOwl
,,,MooseWanderer
,,,OldBadger
,,,PondFrog
,,,PricklyHedgehog
,,,RiverDuck
,,,StrayGoat
,,,TrailRabbit
,,,WiseTortoise
